Max_Amp,tDrift50,tDrift90,tDrift100,blnoise,tslope,Energy
1233.0000,61.0000,69.0000,81.0000,11.5110,-108.1349,461.6230
1319.0000,93.0000,116.0000,135.0000,3.7505,-112.9078,510.6010
1237.0000,81.0000,89.0000,104.0000,2.3472,-111.2230,463.7562
4469.0000,90.0000,98.0000,112.0000,1.8966,-111.4219,1754.7053
796.0000,84.0000,95.0000,117.0000,2.9256,-123.4542,271.7369
695.0000,52.0000,60.0000,79.0000,4.9171,-102.7795,237.9489
2027.0000,95.0000,105.0000,136.0000,1.8714,-112.6474,797.1640
4449.0000,91.0000,100.0000,121.0000,3.5238,-126.2197,1717.4671
2969.0000,50.0000,59.0000,77.0000,4.1300,-114.5489,1150.1190
729.0000,70.0000,79.0000,97.0000,3.3666,-109.8583,252.9699
917.0000,108.0000,118.0000,137.0000,3.8287,-112.3990,303.3751
2183.0000,96.0000,105.0000,129.0000,1.7351,-111.8299,856.2118
922.0000,21.0000,31.0000,56.0000,1.6914,-112.9682,322.9180
6439.0000,24.0000,62.0000,80.0000,3.7181,-114.0591,2613.2700
637.0000,115.0000,127.0000,150.0000,1.7035,-112.0295,189.2237
694.0000,116.0000,126.0000,155.0000,6.8432,-106.3305,240.6254
137.0000,144.0000,104.0000,148.0000,3.2658,45.2890,1.4217
637.0000,76.0000,85.0000,103.0000,5.4489,-108.6924,211.3103
1074.0000,70.0000,83.0000,98.0000,1.9334,-114.0130,396.3958
663.0000,80.0000,89.0000,102.0000,3.3347,-109.2208,241.4735
1249.0000,48.0000,59.0000,74.0000,3.8486,-113.0804,449.5065
1650.0000,55.0000,65.0000,92.0000,4.3831,-113.2649,604.0285
610.0000,92.0000,100.0000,130.0000,3.1631,-108.4511,220.9337
6616.0000,62.0000,70.0000,86.0000,2.1246,-110.9405,2613.9504
814.0000,26.0000,34.0000,51.0000,1.9344,-111.9514,287.3390
623.0000,50.0000,70.0000,112.0000,2.6796,-112.6348,223.1871
3067.0000,80.0000,115.0000,135.0000,1.7290,-112.7060,1183.6823
4532.0000,135.0000,145.0000,168.0000,4.6281,-114.4842,1779.2639
814.0000,91.0000,128.0000,335.0000,8.5138,-108.3223,302.2751
633.0000,36.0000,44.0000,66.0000,5.3107,-108.7254,217.8781
322.0000,82.0000,92.0000,116.0000,11.0113,-95.2860,95.9953
916.0000,100.0000,113.0000,174.0000,2.1885,-123.4937,317.8161
2097.0000,25.0000,33.0000,48.0000,1.7140,-114.5024,814.4813
923.0000,83.0000,92.0000,102.0000,2.4186,-109.8914,330.0279
719.0000,85.0000,94.0000,105.0000,2.5404,-109.3730,238.6079
701.0000,62.0000,70.0000,92.0000,4.0120,-111.2436,244.7114
652.0000,78.0000,86.0000,97.0000,1.9863,-111.3268,238.4236
491.0000,75.0000,83.0000,105.0000,2.3402,-110.3678,189.1154
909.0000,42.0000,52.0000,67.0000,2.3673,-111.7425,341.2926
6429.0000,91.0000,105.0000,129.0000,2.5653,-113.9699,2416.3647
6595.0000,91.0000,104.0000,118.0000,2.5592,-110.9916,2613.8611
5587.0000,30.0000,40.0000,82.0000,4.7452,-113.8535,2264.9549
6669.0000,50.0000,59.0000,75.0000,2.0011,-114.8192,2611.5170
1215.0000,69.0000,78.0000,102.0000,2.7219,-111.1292,442.3781
715.0000,95.0000,108.0000,125.0000,1.9836,-109.2939,238.7597
594.0000,52.0000,61.0000,82.0000,1.8107,-111.5398,202.9031
517.0000,73.0000,106.0000,116.0000,2.6603,-108.9055,175.0787
427.0000,77.0000,88.0000,130.0000,1.9919,-104.4176,120.6924
593.0000,118.0000,130.0000,148.0000,2.0319,-110.2780,170.3456
2229.0000,62.0000,71.0000,87.0000,1.8962,-113.1000,848.2649
600.0000,87.0000,96.0000,123.0000,1.9508,-109.0584,214.5092
271.0000,-567.0000,76.0000,177.0000,5.5516,-95.5582,40.5651
695.0000,63.0000,72.0000,108.0000,2.4064,-107.9303,238.5430
493.0000,33.0000,42.0000,61.0000,2.0752,-111.1404,176.4146
3069.0000,72.0000,89.0000,138.0000,3.4928,-113.6876,1131.2065
1513.0000,39.0000,85.0000,103.0000,2.1140,-113.5311,583.4955
680.0000,76.0000,91.0000,105.0000,3.8598,-110.9122,240.6101
567.0000,82.0000,90.0000,109.0000,1.7906,-110.3807,204.0035
893.0000,36.0000,45.0000,61.0000,2.4567,-112.9259,326.9165
5181.0000,54.0000,62.0000,79.0000,1.7430,-112.7165,2037.2648
3459.0000,55.0000,63.0000,90.0000,1.9062,-112.2357,1367.1001
1116.0000,122.0000,132.0000,156.0000,2.3375,-113.0627,386.3393
697.0000,63.0000,72.0000,85.0000,4.4465,-122.1317,233.0685
673.0000,63.0000,81.0000,131.0000,3.8598,-109.5667,227.0517
761.0000,116.0000,131.0000,176.0000,1.6586,-111.0916,238.2294
424.0000,53.0000,72.0000,100.0000,2.4840,-105.4241,121.7276
745.0000,111.0000,143.0000,174.0000,1.5897,-111.6397,238.7843
639.0000,49.0000,58.0000,80.0000,5.0383,-108.3041,232.4331
1531.0000,67.0000,84.0000,131.0000,4.6721,-112.2528,582.9303
599.0000,62.0000,74.0000,88.0000,4.8771,-108.8620,205.4933
1097.0000,122.0000,135.0000,155.0000,4.0632,-112.1099,378.4305
5367.0000,39.0000,48.0000,64.0000,4.3220,-113.8992,2170.5028
1506.0000,49.0000,81.0000,99.0000,4.4131,-113.1724,583.1754
1521.0000,90.0000,101.0000,121.0000,1.9826,-111.2673,583.2476
996.0000,74.0000,88.0000,175.0000,1.9974,-124.9440,353.0798
185.0000,73.0000,84.0000,307.0000,1.9185,-97.2132,46.6963
809.0000,82.0000,91.0000,113.0000,2.7680,-111.8926,291.9023
1065.0000,48.0000,70.0000,89.0000,1.6340,-111.3174,414.6921
1223.0000,82.0000,90.0000,104.0000,1.6466,-111.6151,479.1649
1011.0000,90.0000,99.0000,117.0000,1.9210,-111.4818,384.9489
1333.0000,51.0000,63.0000,82.0000,2.9858,-111.2100,510.3874
1641.0000,79.0000,98.0000,117.0000,3.5390,-112.6442,583.4180
834.0000,73.0000,82.0000,115.0000,2.8592,-110.6966,294.8505
1581.0000,71.0000,81.0000,94.0000,2.3076,-111.2164,583.5833
1071.0000,86.0000,97.0000,118.0000,2.2315,-109.3127,396.7631
703.0000,89.0000,98.0000,115.0000,1.8408,-109.3608,211.7174
2180.0000,60.0000,70.0000,90.0000,1.8967,-113.5356,860.5277
